taxID	Scientific_Name	superkingdom	phylum	class	order	family	genus	species_group	species
2698827	Flavobacterium ichthyis	2	976	117743	200644	49546	237		2698827
2704140	Flavobacterium bizetiae	2	976	117743	200644	49546	237		2704140
2708117	Capnocytophaga endodontalis	2	976	117743	200644	49546	1016		2708117
2709660	Flavobacterium lotistagni	2	976	117743	200644	49546	237		2709660
2709780	Flavobacterium celericrescens	2	976	117743	200644	49546	237		2709780
2718534	Flavobacterium sp. J49	2	976	117743	200644	49546	237		2718534
2735167	Muricauda amphidinii	2	976	117743	200644	49546	111500		2735167
2735895	Flavobacterium sp. 28A	2	976	117743	200644	49546	237		2735895
2735896	Flavobacterium sp. 14A	2	976	117743	200644	49546	237		2735896
2738844	Polaribacter sp. L12M9	2	976	117743	200644	49546	52959		2738844
2739062	Flavobacterium sp. M31R6	2	976	117743	200644	49546	237		2739062
2743471	Flavobacterium agri	2	976	117743	200644	49546	237		2743471
2748319	Flavobacterium sp. I3-2	2	976	117743	200644	49546	237		2748319
2748320	Flavobacterium inviolabile	2	976	117743	200644	49546	237		2748320
2759527	Tenacibaculum pelagium	2	976	117743	200644	49546	104267		2759527
2759944	Myroides sp. WP-1	2	976	117743	200644	49546	76831		2759944
2759945	Myroides sp. NP-2	2	976	117743	200644	49546	76831		2759945
2762332	Robiginitalea sp. SC105	2	976	117743	200644	49546	252306		2762332
2764716	Flavobacterium muglaense	2	976	117743	200644	49546	237		2764716
2764718	Flavobacterium turcicum	2	976	117743	200644	49546	237		2764718
2781243	Tenacibaculum finnmarkense	2	976	117743	200644	49546	104267		2781243
2813823	Flavobacterium bernardetii	2	976	117743	200644	49546	237		2813823
245	Flavobacterium aquatile	2	976	117743	200644	49546	237		245
531	Polaribacter irgensii	2	976	117743	200644	49546	52959		531
1017	Capnocytophaga gingivalis	2	976	117743	200644	49546	1016		1017
1018	Capnocytophaga ochracea	2	976	117743	200644	49546	1016		1018
45242	Capnocytophaga granulosa	2	976	117743	200644	49546	1016		45242
99286	Flavobacterium frigidarium	2	976	117743	200644	49546	237		99286
104270	Tenacibaculum ovolyticum	2	976	117743	200644	49546	104267		104270
111501	Muricauda ruestringensis	2	976	117743	200644	49546	111500		111501
229204	Flavobacterium frigoris	2	976	117743	200644	49546	237		229204
