taxID	name	level	branch_length	source
2529433	Flavobacterium silvisoli	species	0	Phylogeny Only
2529860	Flavobacterium sp. H122	species	0	Phylogeny Only
2530200	Muricauda alvinocaridis	species	0	Phylogeny Only
2541724	Flavobacterium rhamnosiphilum	species	0	Phylogeny Only
2541731	Flavobacterium cellulosilyticum	species	0	Phylogeny Only
2541732	Flavobacterium caseinilyticum	species	0	Phylogeny Only
2541733	Flavobacterium sandaracinum	species	0	Phylogeny Only
2541734	Flavobacterium hiemivividum	species	0	Phylogeny Only
2562683	Flavobacterium humi	species	0	Phylogeny Only
2562684	Flagellimonas sp. XY-359	species	0	Phylogeny Only
2572594	Myroides fluvii	species	0	Phylogeny Only
2583815	Flagellimonas algicola	species	0	Phylogeny Only
2587019	Flavobacterium sp. SG815	species	0	Phylogeny Only
2590449	Flavobacterium sp. I-STPP5a	species	0	Phylogeny Only
2594428	Flavobacterium restrictum	species	0	Phylogeny Only
2594429	Flavobacterium sp. ZT3R18	species	0	Phylogeny Only
2597517	Muricauda sp. MT-229	species	0	Phylogeny Only
2608000	Flavobacterium baculatum	species	0	Phylogeny Only
2614441	Flavobacterium sp. LPB0248	species	0	Phylogeny Only
2653142	Flavobacterium sp. 9AF	species	0	Phylogeny Only
2654244	Flavobacterium sp. LMO8	species	0	Phylogeny Only
2654675	Flagellimonas sp. HSM57	species	0	Phylogeny Only
2654676	Flagellimonas sp. CMM7	species	0	Phylogeny Only
2663843	Muricauda sp. ARW1Y1	species	0	Phylogeny Only
2666330	Flavobacterium sp. LC2016-23	species	0	Phylogeny Only
2675875	Flavobacterium sp. LC2016-13	species	0	Phylogeny Only
2675876	Flavobacterium sp. LC2016-01	species	0	Phylogeny Only
2676308	Flavobacterium sp. MC2016-06	species	0	Phylogeny Only
2683200	Muricauda sp. TY007	species	0	Phylogeny Only
2683249	Flavobacterium hydrocarbonoxydans	species	0	Phylogeny Only
2686361	Polaribacter sp. L3A8	species	0	Phylogeny Only
2692318	Flavobacterium ajazii	species	0	Phylogeny Only
2698672	Muricauda oceani	species	0	Phylogeny Only
2698827	Flavobacterium ichthyis	species	0	Phylogeny Only
2709660	Flavobacterium lotistagni	species	0	Phylogeny Only
2709780	Flavobacterium celericrescens	species	0	Phylogeny Only
2718534	Flavobacterium sp. J49	species	0	Phylogeny Only
2735167	Muricauda amphidinii	species	0	Phylogeny Only
2735895	Flavobacterium sp. 28A	species	0	Phylogeny Only
2735896	Flavobacterium sp. 14A	species	0	Phylogeny Only
2738844	Polaribacter sp. L12M9	species	0	Phylogeny Only
2739062	Flavobacterium sp. M31R6	species	0	Phylogeny Only
2743471	Flavobacterium agri	species	0	Phylogeny Only
2748319	Flavobacterium sp. I3-2	species	0	Phylogeny Only
2748320	Flavobacterium inviolabile	species	0	Phylogeny Only
2759527	Tenacibaculum pelagium	species	0	Phylogeny Only
2759944	Myroides sp. WP-1	species	0	Phylogeny Only
2762332	Robiginitalea sp. SC105	species	0	Phylogeny Only
2813823	Flavobacterium bernardetii	species	0	Phylogeny Only
245	Flavobacterium aquatile	species	0	Phylogeny Only
1017	Capnocytophaga gingivalis	species	0	Phylogeny Only
1018	Capnocytophaga ochracea	species	0	Phylogeny Only
45242	Capnocytophaga granulosa	species	0	Phylogeny Only
99286	Flavobacterium frigidarium	species	0	Phylogeny Only
104270	Tenacibaculum ovolyticum	species	0	Phylogeny Only
111501	Muricauda ruestringensis	species	0	Phylogeny Only
229204	Flavobacterium frigoris	species	0	Phylogeny Only
252307	Robiginitalea biformata	species	0	Phylogeny Only
271155	Flavobacterium antarcticum	species	0	Phylogeny Only
326329	Polaribacter dokdonensis	species	0	Phylogeny Only
344881	Flavobacterium soli	species	0	Phylogeny Only
350894	Flavobacterium suncheonense	species	0	Phylogeny Only
370974	Flavobacterium filum	species	0	Phylogeny Only
370975	Flavobacterium croceum	species	0	Phylogeny Only
426226	Flavobacterium subsaxonicum	species	0	Phylogeny Only
1165090	Imtechella halotolerans	species	0	Phylogeny Only
1183151	Myroides injenensis	species	0	Phylogeny Only
1227265	Capnocytophaga sp. oral taxon 863	species	0	Phylogeny Only
1341165	Flavobacterium enshiense	species	0	Phylogeny Only
1401027	Flavobacterium limnosediminis	species	0	Phylogeny Only
